timestamp,ofi_best_level,ofi_integrated,ofi_level_1,ofi_level_2,ofi_level_3,ofi_level_4,ofi_level_5,ofi_level_6,ofi_level_7,ofi_level_8,ofi_level_9,ofi_level_10
2024-10-21 12:36:29.221064336+00:00,-892.0,391.1788726812181,-892.0,-3489.0,2983.0,-3216.0,2856.0,1945.0,-1655.0,-650.0,340.0,-815.0
2024-10-21 12:37:29.221064336+00:00,-179.0,1089.751035241397,-179.0,-1927.0,-1991.0,7587.0,-3433.0,2641.0,158.0,-875.0,-1449.0,132.0
2024-10-21 12:38:29.221064336+00:00,-1408.0,-142.877794580393,-1408.0,-2180.0,-1904.0,2455.0,-29.0,-1980.0,-205.0,1519.0,-1618.0,-179.0
2024-10-21 12:39:29.221064336+00:00,-3219.0,768.4962487777398,-3219.0,-182.0,689.0,2481.0,-797.0,958.0,-670.0,714.0,168.0,-1368.0
2024-10-21 12:40:29.221064336+00:00,-1578.0,1183.7217822121806,-1578.0,1554.0,-938.0,4237.0,512.0,-218.0,539.0,1454.0,-510.0,1144.0
2024-10-21 12:41:29.221064336+00:00,227.0,516.4498075691052,227.0,-899.0,2689.0,-1621.0,1824.0,-272.0,838.0,-809.0,259.0,19.0
2024-10-21 12:42:29.221064336+00:00,-4872.0,701.6979088645606,-4872.0,677.0,-688.0,2306.0,858.0,221.0,2422.0,-163.0,-870.0,932.0
2024-10-21 12:43:29.221064336+00:00,-395.0,386.50841699446033,-395.0,-4229.0,218.0,-1814.0,4331.0,1563.0,614.0,-793.0,2365.0,-1718.0
2024-10-21 12:44:29.221064336+00:00,-2675.0,516.3994200668174,-2675.0,-2391.0,219.0,158.0,994.0,3071.0,167.0,1128.0,524.0,445.0
2024-10-21 12:45:29.221064336+00:00,-889.0,2174.286766644753,-889.0,-3936.0,2143.0,3950.0,2786.0,926.0,2672.0,460.0,-911.0,-267.0
2024-10-21 12:46:29.221064336+00:00,-20.0,205.28712260687308,-20.0,-568.0,1646.0,-817.0,886.0,-971.0,653.0,-850.0,-772.0,-513.0
2024-10-21 12:47:29.221064336+00:00,-2328.0,282.5068296671417,-2328.0,-1549.0,-1627.0,2285.0,-304.0,1958.0,1459.0,-1280.0,1556.0,-12.0
2024-10-21 12:48:29.221064336+00:00,-924.0,1239.3661594436157,-924.0,-247.0,1972.0,2916.0,-567.0,334.0,-1083.0,1992.0,-1906.0,1850.0
2024-10-21 12:49:29.221064336+00:00,-143.0,1725.5867541244418,-143.0,-10239.0,11325.0,-5621.0,2820.0,4480.0,2039.0,-1284.0,-7.0,1669.0
2024-10-21 12:50:29.221064336+00:00,235.0,-172.20117442091862,235.0,-5197.0,-4404.0,5955.0,-6688.0,7753.0,3477.0,587.0,1937.0,-216.0
2024-10-21 12:51:29.221064336+00:00,-140.0,-143.89454465572183,-140.0,760.0,-11404.0,14881.0,-11789.0,7740.0,5655.0,-2642.0,2726.0,-1231.0
2024-10-21 12:52:29.221064336+00:00,-26.0,384.65566772360773,-26.0,-1893.0,-3598.0,7807.0,-6818.0,5126.0,5341.0,-2127.0,745.0,-1375.0
2024-10-21 12:53:29.221064336+00:00,-1213.0,-586.010428011382,-1213.0,-262.0,-1239.0,-759.0,-1539.0,2254.0,1584.0,331.0,1385.0,1166.0
2024-10-21 12:54:29.221064336+00:00,162.0,-671.0145202202697,162.0,-370.0,-2338.0,1034.0,-2814.0,1896.0,354.0,281.0,2032.0,-727.0
2024-10-21 12:55:29.221064336+00:00,-2245.0,-1456.7458735936343,-2245.0,783.0,-4288.0,977.0,-3264.0,-205.0,3373.0,-646.0,1445.0,-976.0
2024-10-21 12:56:29.221064336+00:00,71.0,-610.3395749136488,71.0,969.0,-3984.0,3264.0,-4390.0,2598.0,521.0,992.0,909.0,-946.0
2024-10-21 12:57:29.221064336+00:00,124.0,-799.3367729356413,124.0,160.0,-3989.0,3618.0,-4923.0,1744.0,1945.0,-1095.0,1034.0,-1116.0
2024-10-21 12:58:29.221064336+00:00,-14.0,-197.6450413335293,-14.0,737.0,-1031.0,-242.0,-151.0,2.0,939.0,3765.0,75.0,2472.0
2024-10-21 12:59:29.221064336+00:00,-21.0,-195.57148934821947,-21.0,131.0,-286.0,-102.0,-1347.0,1803.0,-1160.0,355.0,-576.0,-1314.0
2024-10-21 13:00:29.221064336+00:00,-249.0,-276.58086892644286,-249.0,180.0,1971.0,-3901.0,1781.0,-364.0,1517.0,-1105.0,-169.0,725.0
2024-10-21 13:01:29.221064336+00:00,-1335.0,-1003.2966984336972,-1335.0,903.0,-6429.0,4182.0,-3300.0,531.0,503.0,1196.0,-1851.0,828.0
2024-10-21 13:02:29.221064336+00:00,-5274.0,-1604.672602647278,-5274.0,-6812.0,-2534.0,-2608.0,2284.0,-1652.0,18.0,-1156.0,1088.0,398.0
2024-10-21 13:03:29.221064336+00:00,-1238.0,431.2093550724907,-1238.0,-2878.0,-1041.0,1734.0,1380.0,368.0,1293.0,213.0,2496.0,1272.0
